DXS10163	DXS10164	modified
14	11	0.011
15	10	0.011
15	11	0.006
16	09	0.003
16	10	0.108
16	11	0.022
16	12	0.022
17	08	0.006
17	09	0.008
17	10	0.139
17	11	0.078
17	12	0.022
17	13	0.003
18	10	0.091
18	11	0.036
18	12	0.011
18	13	0.003
19	10	0.111
19	11	0.102
19	12	0.022
19	13	0.022
20	10	0.05
20	11	0.03
20	12	0.044
20	13	0.011
21	10	0.006
21	11	0.008
21	12	0.008
25	10	0.003
26	10	0.003
