DXS10163	DXS10164	normalized
14	11	0.011
15	10	0.022
15	11	0.028
16	09	0.031
16	10	0.139
16	11	0.161
16	12	0.183
17	08	0.189
17	09	0.197
17	10	0.336
17	11	0.414
17	12	0.436
17	13	0.439
18	10	0.53
18	11	0.566
18	12	0.577
18	13	0.58
19	10	0.691
19	11	0.793
19	12	0.815
19	13	0.837
20	10	0.887
20	11	0.917
20	12	0.961
20	13	0.972
21	10	0.978
21	11	0.986
21	12	0.994
25	10	0.997
26	10	1
